neg param 0.1 split
ents: 15000 + 17492 = 19661
ents: 15000 + 17879 = 19993
all ents: 38154
all rels: 903 1208 2111
all triples: 105998 + 115722 = 221720
To align: 13500
0/200, relation_loss = 533314.263, time = 2.272 s
1/200, relation_loss = 428532.727, time = 2.206 s
2/200, relation_loss = 372394.780, time = 2.276 s
3/200, relation_loss = 332537.213, time = 2.156 s
4/200, relation_loss = 301753.796, time = 2.180 s
5/200, relation_loss = 276937.134, time = 2.160 s
6/200, relation_loss = 256313.348, time = 2.145 s
7/200, relation_loss = 238795.185, time = 2.238 s
8/200, relation_loss = 223811.919, time = 2.215 s
9/200, relation_loss = 210631.960, time = 2.188 s
10/200, relation_loss = 199049.212, time = 2.224 s
11/200, relation_loss = 188794.586, time = 2.260 s
12/200, relation_loss = 179690.963, time = 2.177 s
13/200, relation_loss = 171477.608, time = 2.235 s
14/200, relation_loss = 164045.891, time = 2.175 s
15/200, relation_loss = 157362.111, time = 2.162 s
16/200, relation_loss = 151261.334, time = 2.148 s
17/200, relation_loss = 145649.458, time = 2.147 s
18/200, relation_loss = 140565.632, time = 2.156 s
19/200, relation_loss = 135796.998, time = 2.178 s
20/200, relation_loss = 131478.027, time = 2.177 s
21/200, relation_loss = 127490.138, time = 2.208 s
22/200, relation_loss = 123683.704, time = 2.201 s
23/200, relation_loss = 120182.196, time = 2.082 s
24/200, relation_loss = 116945.703, time = 2.165 s
25/200, relation_loss = 113912.691, time = 2.258 s
26/200, relation_loss = 111105.619, time = 2.230 s
27/200, relation_loss = 108416.857, time = 2.282 s
28/200, relation_loss = 105996.709, time = 2.292 s
29/200, relation_loss = 103548.098, time = 2.193 s
30/200, relation_loss = 101343.334, time = 2.174 s
31/200, relation_loss = 99282.644, time = 2.297 s
32/200, relation_loss = 97268.789, time = 2.209 s
33/200, relation_loss = 95402.466, time = 2.254 s
34/200, relation_loss = 93607.315, time = 2.143 s
35/200, relation_loss = 91892.685, time = 2.184 s
36/200, relation_loss = 90307.424, time = 2.136 s
37/200, relation_loss = 88755.403, time = 2.163 s
38/200, relation_loss = 87246.113, time = 2.140 s
39/200, relation_loss = 85903.567, time = 2.145 s
40/200, relation_loss = 84591.708, time = 2.165 s
41/200, relation_loss = 83328.210, time = 2.180 s
42/200, relation_loss = 82090.928, time = 2.251 s
43/200, relation_loss = 80887.991, time = 2.252 s
44/200, relation_loss = 79771.734, time = 2.223 s
45/200, relation_loss = 78679.062, time = 2.197 s
46/200, relation_loss = 77686.078, time = 3.530 s
47/200, relation_loss = 76669.851, time = 2.220 s
48/200, relation_loss = 75646.623, time = 2.139 s
49/200, relation_loss = 74832.357, time = 2.160 s
50/200, relation_loss = 73907.408, time = 2.169 s
51/200, relation_loss = 73099.908, time = 2.187 s
52/200, relation_loss = 72254.277, time = 2.158 s
53/200, relation_loss = 71439.343, time = 2.190 s
54/200, relation_loss = 70708.397, time = 2.159 s
55/200, relation_loss = 70026.975, time = 2.225 s
56/200, relation_loss = 69224.996, time = 2.216 s
57/200, relation_loss = 68568.219, time = 2.141 s
58/200, relation_loss = 67886.541, time = 2.104 s
59/200, relation_loss = 67228.415, time = 2.111 s
60/200, relation_loss = 66618.260, time = 2.150 s
61/200, relation_loss = 66015.862, time = 2.205 s
62/200, relation_loss = 65459.343, time = 2.266 s
63/200, relation_loss = 64839.047, time = 2.163 s
64/200, relation_loss = 64321.635, time = 2.219 s
65/200, relation_loss = 63709.568, time = 2.168 s
66/200, relation_loss = 63209.536, time = 2.219 s
67/200, relation_loss = 62727.071, time = 2.204 s
68/200, relation_loss = 62225.047, time = 2.142 s
69/200, relation_loss = 61747.085, time = 2.198 s
70/200, relation_loss = 61253.623, time = 2.152 s
71/200, relation_loss = 60802.588, time = 2.178 s
72/200, relation_loss = 60377.218, time = 2.148 s
73/200, relation_loss = 59935.044, time = 2.220 s
74/200, relation_loss = 59492.714, time = 2.129 s
75/200, relation_loss = 59040.898, time = 2.226 s
76/200, relation_loss = 58624.437, time = 2.135 s
77/200, relation_loss = 58257.523, time = 2.067 s
78/200, relation_loss = 57907.521, time = 2.110 s
79/200, relation_loss = 57547.480, time = 2.113 s
80/200, relation_loss = 57056.134, time = 2.177 s
81/200, relation_loss = 56759.926, time = 2.166 s
82/200, relation_loss = 56391.214, time = 2.158 s
83/200, relation_loss = 56079.440, time = 2.262 s
84/200, relation_loss = 55773.462, time = 2.141 s
85/200, relation_loss = 55405.271, time = 2.200 s
86/200, relation_loss = 55130.107, time = 2.119 s
87/200, relation_loss = 54836.015, time = 2.127 s
88/200, relation_loss = 54488.946, time = 2.203 s
89/200, relation_loss = 54310.991, time = 2.206 s
90/200, relation_loss = 53942.824, time = 2.108 s
91/200, relation_loss = 53629.002, time = 2.184 s
92/200, relation_loss = 53333.661, time = 2.169 s
93/200, relation_loss = 53071.484, time = 2.282 s
94/200, relation_loss = 52816.594, time = 2.260 s
95/200, relation_loss = 52551.950, time = 2.229 s
96/200, relation_loss = 52289.721, time = 2.250 s
97/200, relation_loss = 52069.510, time = 2.214 s
98/200, relation_loss = 51836.251, time = 2.156 s
99/200, relation_loss = 51615.847, time = 2.269 s
100/200, relation_loss = 51327.692, time = 2.253 s
101/200, relation_loss = 51148.528, time = 2.179 s
102/200, relation_loss = 50837.975, time = 2.146 s
103/200, relation_loss = 50625.823, time = 2.203 s
104/200, relation_loss = 50443.901, time = 2.293 s
105/200, relation_loss = 50195.253, time = 2.302 s
106/200, relation_loss = 50018.662, time = 2.231 s
107/200, relation_loss = 49836.116, time = 2.191 s
108/200, relation_loss = 49555.506, time = 2.262 s
109/200, relation_loss = 49356.135, time = 2.291 s
110/200, relation_loss = 49196.432, time = 2.121 s
111/200, relation_loss = 48993.371, time = 2.185 s
112/200, relation_loss = 48824.559, time = 2.200 s
113/200, relation_loss = 48574.055, time = 2.263 s
114/200, relation_loss = 48448.515, time = 2.078 s
115/200, relation_loss = 48237.624, time = 2.236 s
116/200, relation_loss = 47997.720, time = 2.227 s
117/200, relation_loss = 47829.145, time = 2.156 s
118/200, relation_loss = 47735.332, time = 2.224 s
119/200, relation_loss = 47528.921, time = 2.257 s
120/200, relation_loss = 47379.770, time = 2.148 s
121/200, relation_loss = 47233.810, time = 2.212 s
122/200, relation_loss = 47013.140, time = 2.192 s
123/200, relation_loss = 46786.775, time = 2.207 s
124/200, relation_loss = 46696.418, time = 2.196 s
125/200, relation_loss = 46521.479, time = 2.151 s
126/200, relation_loss = 46396.591, time = 2.230 s
127/200, relation_loss = 46163.224, time = 2.129 s
128/200, relation_loss = 46068.241, time = 2.213 s
129/200, relation_loss = 45929.267, time = 2.187 s
130/200, relation_loss = 45759.365, time = 2.136 s
131/200, relation_loss = 45678.746, time = 2.227 s
132/200, relation_loss = 45504.673, time = 2.270 s
133/200, relation_loss = 45430.583, time = 2.171 s
134/200, relation_loss = 45203.581, time = 2.155 s
135/200, relation_loss = 45103.045, time = 2.221 s
136/200, relation_loss = 45007.759, time = 2.127 s
