neg param 0.1 split
ents: 15000 + 17693 = 19814
ents: 15000 + 17738 = 19780
all ents: 36594
all rels: 1299 1153 2452
all triples: 77214 + 93484 = 170698
To align: 12000
0/200, relation_loss = 424294.818, time = 1.755 s
1/200, relation_loss = 348448.177, time = 1.701 s
2/200, relation_loss = 306635.652, time = 1.706 s
3/200, relation_loss = 276706.197, time = 1.703 s
4/200, relation_loss = 253299.776, time = 1.712 s
5/200, relation_loss = 234266.230, time = 1.693 s
6/200, relation_loss = 218274.151, time = 1.715 s
7/200, relation_loss = 204644.384, time = 1.679 s
8/200, relation_loss = 192845.535, time = 1.658 s
9/200, relation_loss = 182477.582, time = 1.702 s
10/200, relation_loss = 173290.367, time = 1.693 s
11/200, relation_loss = 165110.080, time = 1.699 s
12/200, relation_loss = 157770.215, time = 1.686 s
13/200, relation_loss = 151101.796, time = 1.682 s
14/200, relation_loss = 145059.469, time = 1.676 s
15/200, relation_loss = 139535.550, time = 1.694 s
16/200, relation_loss = 134532.477, time = 1.699 s
17/200, relation_loss = 129838.682, time = 1.685 s
18/200, relation_loss = 125516.309, time = 1.642 s
19/200, relation_loss = 121573.528, time = 1.598 s
20/200, relation_loss = 117904.002, time = 1.620 s
21/200, relation_loss = 114480.052, time = 1.656 s
22/200, relation_loss = 111266.535, time = 1.712 s
23/200, relation_loss = 108244.098, time = 1.695 s
24/200, relation_loss = 105458.388, time = 1.679 s
25/200, relation_loss = 102871.714, time = 1.668 s
26/200, relation_loss = 100413.087, time = 1.672 s
27/200, relation_loss = 98060.623, time = 1.605 s
28/200, relation_loss = 95860.155, time = 1.539 s
29/200, relation_loss = 93758.337, time = 1.511 s
30/200, relation_loss = 91804.243, time = 1.531 s
31/200, relation_loss = 89936.135, time = 1.610 s
32/200, relation_loss = 88200.977, time = 1.617 s
33/200, relation_loss = 86518.480, time = 1.633 s
34/200, relation_loss = 84910.127, time = 1.566 s
35/200, relation_loss = 83354.646, time = 1.547 s
36/200, relation_loss = 81898.038, time = 1.616 s
37/200, relation_loss = 80507.760, time = 1.606 s
38/200, relation_loss = 79237.460, time = 1.628 s
39/200, relation_loss = 77938.011, time = 1.557 s
40/200, relation_loss = 76749.830, time = 1.624 s
41/200, relation_loss = 75626.042, time = 1.669 s
42/200, relation_loss = 74516.821, time = 1.655 s
43/200, relation_loss = 73441.659, time = 1.669 s
44/200, relation_loss = 72424.867, time = 1.674 s
45/200, relation_loss = 71449.967, time = 1.647 s
46/200, relation_loss = 70520.764, time = 1.627 s
47/200, relation_loss = 69602.859, time = 1.636 s
48/200, relation_loss = 68702.641, time = 1.631 s
49/200, relation_loss = 67883.078, time = 1.664 s
50/200, relation_loss = 67090.650, time = 3.046 s
51/200, relation_loss = 66243.692, time = 1.581 s
52/200, relation_loss = 65534.195, time = 1.624 s
53/200, relation_loss = 64799.316, time = 1.603 s
54/200, relation_loss = 64136.685, time = 1.624 s
55/200, relation_loss = 63412.515, time = 1.569 s
56/200, relation_loss = 62781.669, time = 1.640 s
57/200, relation_loss = 62133.865, time = 1.639 s
58/200, relation_loss = 61486.765, time = 1.644 s
59/200, relation_loss = 60864.584, time = 1.620 s
60/200, relation_loss = 60323.048, time = 1.654 s
61/200, relation_loss = 59780.244, time = 1.639 s
62/200, relation_loss = 59166.934, time = 1.586 s
63/200, relation_loss = 58653.766, time = 1.596 s
64/200, relation_loss = 58131.201, time = 1.668 s
65/200, relation_loss = 57653.014, time = 1.696 s
66/200, relation_loss = 57189.616, time = 1.638 s
67/200, relation_loss = 56662.170, time = 1.618 s
68/200, relation_loss = 56221.630, time = 1.618 s
69/200, relation_loss = 55777.128, time = 1.596 s
70/200, relation_loss = 55293.963, time = 1.556 s
71/200, relation_loss = 54843.392, time = 1.620 s
72/200, relation_loss = 54466.526, time = 1.624 s
73/200, relation_loss = 54047.246, time = 1.617 s
74/200, relation_loss = 53697.829, time = 1.645 s
75/200, relation_loss = 53286.292, time = 1.619 s
76/200, relation_loss = 52883.727, time = 1.640 s
77/200, relation_loss = 52489.455, time = 1.633 s
78/200, relation_loss = 52140.400, time = 1.553 s
79/200, relation_loss = 51759.865, time = 1.583 s
