prepare data for jape...
check:  15000 15000
check:  19388 19572
running jape_se...
return jape results finished.
shape of TransE embedding: (38960, 200)
Epoch: 0001 AE_train_loss= 4.30328 SE_train_loss= 2.66305
Epoch: 0002 AE_train_loss= 25.84026 SE_train_loss= 2.58987
Epoch: 0003 AE_train_loss= 20.06283 SE_train_loss= 1.28777
Epoch: 0004 AE_train_loss= 16.23342 SE_train_loss= 0.54997
Epoch: 0005 AE_train_loss= 13.61171 SE_train_loss= 0.23358
Epoch: 0006 AE_train_loss= 11.66446 SE_train_loss= 0.11518
Epoch: 0007 AE_train_loss= 10.18237 SE_train_loss= 0.06551
Epoch: 0008 AE_train_loss= 9.02332 SE_train_loss= 0.04172
Epoch: 0009 AE_train_loss= 8.08773 SE_train_loss= 0.02885
Epoch: 0010 AE_train_loss= 7.32479 SE_train_loss= 0.02119
Epoch: 0011 AE_train_loss= 6.73113 SE_train_loss= 0.07143
Epoch: 0012 AE_train_loss= 6.19201 SE_train_loss= 0.03832
Epoch: 0013 AE_train_loss= 5.73083 SE_train_loss= 0.02324
Epoch: 0014 AE_train_loss= 5.33098 SE_train_loss= 0.01629
Epoch: 0015 AE_train_loss= 4.98156 SE_train_loss= 0.01227
Epoch: 0016 AE_train_loss= 4.67303 SE_train_loss= 0.00966
Epoch: 0017 AE_train_loss= 4.39854 SE_train_loss= 0.00788
Epoch: 0018 AE_train_loss= 4.15359 SE_train_loss= 0.00657
Epoch: 0019 AE_train_loss= 3.93260 SE_train_loss= 0.00553
Epoch: 0020 AE_train_loss= 3.73126 SE_train_loss= 0.00470
Epoch: 0021 AE_train_loss= 3.58738 SE_train_loss= 0.02861
Epoch: 0022 AE_train_loss= 3.41753 SE_train_loss= 0.01656
Epoch: 0023 AE_train_loss= 3.26120 SE_train_loss= 0.01089
Epoch: 0024 AE_train_loss= 3.11680 SE_train_loss= 0.00796
Epoch: 0025 AE_train_loss= 2.98326 SE_train_loss= 0.00624
Epoch: 0026 AE_train_loss= 2.85934 SE_train_loss= 0.00517
Epoch: 0027 AE_train_loss= 2.74416 SE_train_loss= 0.00437
Epoch: 0028 AE_train_loss= 2.63742 SE_train_loss= 0.00376
Epoch: 0029 AE_train_loss= 2.53764 SE_train_loss= 0.00328
Epoch: 0030 AE_train_loss= 2.44453 SE_train_loss= 0.00288
Epoch: 0031 AE_train_loss= 2.34656 SE_train_loss= 0.01771
Epoch: 0032 AE_train_loss= 2.26596 SE_train_loss= 0.01021
