prepare data for jape...
check:  15000 15000
check:  19388 19572
running jape_se...
return jape results finished.
shape of TransE embedding: (38960, 200)
Epoch: 0001 AE_train_loss= 4.30328 SE_train_loss= 2.66305
Epoch: 0002 AE_train_loss= 2.96956 SE_train_loss= 2.65210
Epoch: 0003 AE_train_loss= 2.28164 SE_train_loss= 2.64123
Epoch: 0004 AE_train_loss= 1.76387 SE_train_loss= 2.63043
Epoch: 0005 AE_train_loss= 1.39465 SE_train_loss= 2.61969
Epoch: 0006 AE_train_loss= 1.23385 SE_train_loss= 2.60901
Epoch: 0007 AE_train_loss= 1.12751 SE_train_loss= 2.59840
Epoch: 0008 AE_train_loss= 1.04795 SE_train_loss= 2.58786
Epoch: 0009 AE_train_loss= 0.98346 SE_train_loss= 2.57739
Epoch: 0010 AE_train_loss= 0.92978 SE_train_loss= 2.56698
Epoch: 0011 AE_train_loss= 0.88932 SE_train_loss= 2.57550
Epoch: 0012 AE_train_loss= 0.84957 SE_train_loss= 2.56508
Epoch: 0013 AE_train_loss= 0.81461 SE_train_loss= 2.55474
Epoch: 0014 AE_train_loss= 0.78336 SE_train_loss= 2.54448
Epoch: 0015 AE_train_loss= 0.75545 SE_train_loss= 2.53428
Epoch: 0016 AE_train_loss= 0.73016 SE_train_loss= 2.52413
Epoch: 0017 AE_train_loss= 0.70722 SE_train_loss= 2.51404
Epoch: 0018 AE_train_loss= 0.68637 SE_train_loss= 2.50401
Epoch: 0019 AE_train_loss= 0.66723 SE_train_loss= 2.49404
Epoch: 0020 AE_train_loss= 0.64958 SE_train_loss= 2.48412
Epoch: 0021 AE_train_loss= 0.63968 SE_train_loss= 2.48119
Epoch: 0022 AE_train_loss= 0.62367 SE_train_loss= 2.47127
Epoch: 0023 AE_train_loss= 0.60884 SE_train_loss= 2.46144
Epoch: 0024 AE_train_loss= 0.59513 SE_train_loss= 2.45166
Epoch: 0025 AE_train_loss= 0.58232 SE_train_loss= 2.44194
Epoch: 0026 AE_train_loss= 0.57022 SE_train_loss= 2.43228
Epoch: 0027 AE_train_loss= 0.55885 SE_train_loss= 2.42267
Epoch: 0028 AE_train_loss= 0.54807 SE_train_loss= 2.41312
Epoch: 0029 AE_train_loss= 0.53785 SE_train_loss= 2.40361
Epoch: 0030 AE_train_loss= 0.52816 SE_train_loss= 2.39415
Epoch: 0031 AE_train_loss= 0.52791 SE_train_loss= 2.39975
Epoch: 0032 AE_train_loss= 0.51911 SE_train_loss= 2.39028
Epoch: 0033 AE_train_loss= 0.51094 SE_train_loss= 2.38092
Epoch: 0034 AE_train_loss= 0.50323 SE_train_loss= 2.37162
Epoch: 0035 AE_train_loss= 0.49589 SE_train_loss= 2.36236
Epoch: 0036 AE_train_loss= 0.48891 SE_train_loss= 2.35316
Epoch: 0037 AE_train_loss= 0.48222 SE_train_loss= 2.34399
Epoch: 0038 AE_train_loss= 0.47582 SE_train_loss= 2.33487
Epoch: 0039 AE_train_loss= 0.46966 SE_train_loss= 2.32579
Epoch: 0040 AE_train_loss= 0.46374 SE_train_loss= 2.31676
Epoch: 0041 AE_train_loss= 0.45436 SE_train_loss= 2.31121
Epoch: 0042 AE_train_loss= 0.44828 SE_train_loss= 2.30210
Epoch: 0043 AE_train_loss= 0.44259 SE_train_loss= 2.29310
Epoch: 0044 AE_train_loss= 0.43714 SE_train_loss= 2.28415
Epoch: 0045 AE_train_loss= 0.43192 SE_train_loss= 2.27524
Epoch: 0046 AE_train_loss= 0.42691 SE_train_loss= 2.26638
Epoch: 0047 AE_train_loss= 0.42209 SE_train_loss= 2.25756
Epoch: 0048 AE_train_loss= 0.41744 SE_train_loss= 2.24877
Epoch: 0049 AE_train_loss= 0.41294 SE_train_loss= 2.24003
Epoch: 0050 AE_train_loss= 0.40860 SE_train_loss= 2.23133
Epoch: 0051 AE_train_loss= 0.41303 SE_train_loss= 2.23783
Epoch: 0052 AE_train_loss= 0.40863 SE_train_loss= 2.22905
Epoch: 0053 AE_train_loss= 0.40453 SE_train_loss= 2.22040
Epoch: 0054 AE_train_loss= 0.40059 SE_train_loss= 2.21179
Epoch: 0055 AE_train_loss= 0.39678 SE_train_loss= 2.20321
Epoch: 0056 AE_train_loss= 0.39311 SE_train_loss= 2.19469
Epoch: 0057 AE_train_loss= 0.38954 SE_train_loss= 2.18619
Epoch: 0058 AE_train_loss= 0.38607 SE_train_loss= 2.17774
Epoch: 0059 AE_train_loss= 0.38270 SE_train_loss= 2.16932
Epoch: 0060 AE_train_loss= 0.37942 SE_train_loss= 2.16092
Epoch: 0061 AE_train_loss= 0.37478 SE_train_loss= 2.15975
Epoch: 0062 AE_train_loss= 0.37146 SE_train_loss= 2.15124
Epoch: 0063 AE_train_loss= 0.36837 SE_train_loss= 2.14285
Epoch: 0064 AE_train_loss= 0.36537 SE_train_loss= 2.13452
Epoch: 0065 AE_train_loss= 0.36246 SE_train_loss= 2.12620
Epoch: 0066 AE_train_loss= 0.35964 SE_train_loss= 2.11792
Epoch: 0067 AE_train_loss= 0.35689 SE_train_loss= 2.10967
Epoch: 0068 AE_train_loss= 0.35421 SE_train_loss= 2.10146
Epoch: 0069 AE_train_loss= 0.35160 SE_train_loss= 2.09328
Epoch: 0070 AE_train_loss= 0.34904 SE_train_loss= 2.08512
Epoch: 0071 AE_train_loss= 0.34983 SE_train_loss= 2.09030
Epoch: 0072 AE_train_loss= 0.34699 SE_train_loss= 2.08203
Epoch: 0073 AE_train_loss= 0.34436 SE_train_loss= 2.07389
Epoch: 0074 AE_train_loss= 0.34183 SE_train_loss= 2.06579
Epoch: 0075 AE_train_loss= 0.33937 SE_train_loss= 2.05773
Epoch: 0076 AE_train_loss= 0.33697 SE_train_loss= 2.04970
Epoch: 0077 AE_train_loss= 0.33464 SE_train_loss= 2.04171
Epoch: 0078 AE_train_loss= 0.33236 SE_train_loss= 2.03374
Epoch: 0079 AE_train_loss= 0.33013 SE_train_loss= 2.02581
Epoch: 0080 AE_train_loss= 0.32796 SE_train_loss= 2.01791
Epoch: 0081 AE_train_loss= 0.32764 SE_train_loss= 2.01698
Epoch: 0082 AE_train_loss= 0.32524 SE_train_loss= 2.00891
Epoch: 0083 AE_train_loss= 0.32305 SE_train_loss= 2.00100
Epoch: 0084 AE_train_loss= 0.32094 SE_train_loss= 1.99312
Epoch: 0085 AE_train_loss= 0.31890 SE_train_loss= 1.98527
Epoch: 0086 AE_train_loss= 0.31692 SE_train_loss= 1.97746
Epoch: 0087 AE_train_loss= 0.31498 SE_train_loss= 1.96968
Epoch: 0088 AE_train_loss= 0.31309 SE_train_loss= 1.96193
Epoch: 0089 AE_train_loss= 0.31123 SE_train_loss= 1.95421
Epoch: 0090 AE_train_loss= 0.30942 SE_train_loss= 1.94652
Epoch: 0091 AE_train_loss= 0.30610 SE_train_loss= 1.94240
Epoch: 0092 AE_train_loss= 0.30399 SE_train_loss= 1.93458
Epoch: 0093 AE_train_loss= 0.30205 SE_train_loss= 1.92691
Epoch: 0094 AE_train_loss= 0.30021 SE_train_loss= 1.91929
Epoch: 0095 AE_train_loss= 0.29842 SE_train_loss= 1.91170
Epoch: 0096 AE_train_loss= 0.29667 SE_train_loss= 1.90414
Epoch: 0097 AE_train_loss= 0.29497 SE_train_loss= 1.89660
Epoch: 0098 AE_train_loss= 0.29331 SE_train_loss= 1.88911
Epoch: 0099 AE_train_loss= 0.29168 SE_train_loss= 1.88163
Epoch: 0100 AE_train_loss= 0.29009 SE_train_loss= 1.87420
Epoch: 0101 AE_train_loss= 0.29584 SE_train_loss= 1.87894
Epoch: 0102 AE_train_loss= 0.29400 SE_train_loss= 1.87133
Epoch: 0103 AE_train_loss= 0.29233 SE_train_loss= 1.86387
Epoch: 0104 AE_train_loss= 0.29073 SE_train_loss= 1.85646
