neg param 0.1 split
ents: 15000 + 16596 = 19388
ents: 15000 + 17363 = 19572
all ents: 31460
all rels: 1701 1323 3024
all triples: 70414 + 95142 = 165556
To align: 7500
0/200, relation_loss = 396254.871, time = 1.673 s
1/200, relation_loss = 323742.505, time = 1.597 s
2/200, relation_loss = 283769.852, time = 1.523 s
3/200, relation_loss = 255353.517, time = 1.598 s
4/200, relation_loss = 233401.541, time = 1.602 s
5/200, relation_loss = 215595.616, time = 1.545 s
6/200, relation_loss = 200674.789, time = 1.597 s
7/200, relation_loss = 187830.127, time = 1.611 s
8/200, relation_loss = 176814.184, time = 1.558 s
9/200, relation_loss = 167089.497, time = 1.577 s
10/200, relation_loss = 158443.976, time = 1.547 s
11/200, relation_loss = 150685.590, time = 1.612 s
12/200, relation_loss = 143781.594, time = 1.563 s
13/200, relation_loss = 137481.412, time = 1.578 s
14/200, relation_loss = 131671.343, time = 1.648 s
15/200, relation_loss = 126379.094, time = 1.638 s
16/200, relation_loss = 121524.635, time = 1.630 s
17/200, relation_loss = 117005.501, time = 1.605 s
18/200, relation_loss = 112821.553, time = 1.623 s
19/200, relation_loss = 108961.803, time = 1.563 s
20/200, relation_loss = 105335.438, time = 1.521 s
21/200, relation_loss = 101994.770, time = 1.589 s
22/200, relation_loss = 98812.221, time = 1.539 s
23/200, relation_loss = 95879.106, time = 1.628 s
24/200, relation_loss = 93054.988, time = 1.538 s
25/200, relation_loss = 90508.869, time = 1.559 s
26/200, relation_loss = 87988.888, time = 1.592 s
27/200, relation_loss = 85601.532, time = 1.562 s
28/200, relation_loss = 83418.046, time = 1.553 s
29/200, relation_loss = 81296.065, time = 3.309 s
30/200, relation_loss = 79287.325, time = 1.576 s
31/200, relation_loss = 77452.508, time = 1.588 s
32/200, relation_loss = 75614.547, time = 1.598 s
33/200, relation_loss = 73918.949, time = 1.639 s
34/200, relation_loss = 72279.992, time = 1.612 s
35/200, relation_loss = 70765.422, time = 1.631 s
36/200, relation_loss = 69294.913, time = 1.574 s
37/200, relation_loss = 67909.491, time = 1.560 s
38/200, relation_loss = 66530.341, time = 1.557 s
39/200, relation_loss = 65225.526, time = 1.624 s
40/200, relation_loss = 64008.287, time = 1.701 s
41/200, relation_loss = 62813.335, time = 1.610 s
42/200, relation_loss = 61703.759, time = 1.557 s
43/200, relation_loss = 60641.167, time = 1.559 s
44/200, relation_loss = 59562.895, time = 1.593 s
45/200, relation_loss = 58571.390, time = 1.604 s
46/200, relation_loss = 57626.229, time = 1.631 s
47/200, relation_loss = 56752.417, time = 1.604 s
48/200, relation_loss = 55833.292, time = 1.652 s
49/200, relation_loss = 54993.680, time = 1.582 s
50/200, relation_loss = 54131.777, time = 1.634 s
51/200, relation_loss = 53357.258, time = 1.646 s
52/200, relation_loss = 52621.566, time = 1.640 s
53/200, relation_loss = 51855.506, time = 1.639 s
54/200, relation_loss = 51217.371, time = 1.617 s
55/200, relation_loss = 50472.660, time = 1.646 s
56/200, relation_loss = 49854.349, time = 1.593 s
57/200, relation_loss = 49181.676, time = 1.596 s
58/200, relation_loss = 48586.505, time = 1.677 s
59/200, relation_loss = 47990.431, time = 1.574 s
60/200, relation_loss = 47387.363, time = 1.609 s
61/200, relation_loss = 46815.018, time = 1.649 s
62/200, relation_loss = 46255.311, time = 1.598 s
63/200, relation_loss = 45800.134, time = 1.605 s
64/200, relation_loss = 45237.369, time = 1.553 s
65/200, relation_loss = 44763.334, time = 1.638 s
66/200, relation_loss = 44293.524, time = 1.632 s
67/200, relation_loss = 43776.607, time = 1.600 s
68/200, relation_loss = 43311.633, time = 1.612 s
69/200, relation_loss = 42888.732, time = 1.538 s
70/200, relation_loss = 42512.537, time = 1.617 s
71/200, relation_loss = 42027.681, time = 1.583 s
72/200, relation_loss = 41634.269, time = 1.659 s
73/200, relation_loss = 41261.428, time = 1.634 s
74/200, relation_loss = 40885.698, time = 1.601 s
75/200, relation_loss = 40521.479, time = 1.653 s
76/200, relation_loss = 40086.798, time = 1.602 s
